date,value
1955-02,1149
1955-05,1052
1955-08,1165
1955-11,1154
1956-02,1149
1956-05,1146
1956-08,1153
1956-11,1155
1957-02,1241
1957-05,1217
1957-08,1213
1957-11,1161
1958-02,1139
1958-05,1119
1958-08,1195
1958-11,1184
1959-02,1173
1959-05,1213
1959-08,1234
1959-11,1319
1960-02,1371
1960-05,1399
1960-08,1419
1960-11,1427
1961-02,1432
1961-05,1409
1961-08,1368
1961-11,1373
1962-02,1397
1962-05,1422
1962-08,1435
1962-11,1428
1963-02,1447
1963-05,1502
1963-08,1550
1963-11,1604
1964-02,1717
1964-05,1698
1964-08,1725
1964-11,1772
1965-02,1704
1965-05,1764
1965-08,1789
1965-11,1822
1966-02,1870
1966-05,1831
1966-08,1893
1966-11,1794
1967-02,1942
1967-05,1950
1967-08,1976
1967-11,2147
1968-02,2357
1968-05,2341
1968-08,2431
1968-11,2442
1969-02,2504
1969-05,2512
1969-08,2516
1969-11,2624
1970-02,2658
1970-05,2813
1970-08,2860
1970-11,3039
1971-02,2993
1971-05,3157
1971-08,3111
1971-11,3196
1972-02,3315
1972-05,3349
1972-08,3419
1972-11,3972
1973-02,4249
1973-05,4504
1973-08,4993
1973-11,5579
1974-02,6286
1974-05,7002
1974-08,7117
1974-11,7208
1975-02,7162
1975-05,6905
1975-08,7565
1975-11,7732
1976-02,7911
1976-05,9227
1976-08,9770
1976-11,10470
1977-02,10631
1977-05,11084
1977-08,10918
1977-11,10665
1978-02,11247
1978-05,11385
1978-08,11846
1978-11,11880
1979-02,12524
1979-05,14093
1979-08,13953
1979-11,14924
1980-02,15609
1980-05,15433
1980-08,14110
1980-11,13823
1981-02,13352
1981-05,14596
1981-08,16994
1981-11,17066
1982-02,16812
1982-05,17811
1982-08,17406
1982-11,17534
1983-02,18910
1983-05,19718
1983-08,20022
1983-11,20919
1984-02,21596
1984-05,23261
1984-08,24246
1984-11,25884
1985-02,27022
1985-05,25667
1985-08,24241
1985-11,24410
1986-02,24889
1986-05,25418
1986-08,25985
1986-11,27421
1987-02,27209
1987-05,28143
1987-08,29648
1987-11,29989
1988-02,29980
1988-05,31477
1988-08,33095
1988-11,33944
1989-02,35443
1989-05,36345
1989-08,37741
1989-11,37416
1990-02,39120
1990-05,39287
1990-08,37392
1990-11,37197
1991-02,35759
1991-05,36515
1991-08,37456
1991-11,37476
1992-02,37713
1992-05,39147
1992-08,38753
1992-11,41555
1993-02,43631
1993-05,43460
1993-08,44238
1993-11,45123
1994-02,46348
1994-05,47391
1994-08,48288
1994-11,50389
1995-02,50568
1995-05,53262
1995-08,55275
1995-11,55689
1996-02,58241
1996-05,58981
1996-08,58859
1996-11,59449
1997-02,58872
1997-05,60690
1997-08,59692
1997-11,61046
1998-02,61721
1998-05,62246
1998-08,62241
1998-11,62487
1999-02,64179
1999-05,64520
1999-08,67035
1999-11,68480
2000-02,70056
2000-05,72333
2000-08,75375
2000-11,77919
2001-02,79737
2001-05,79612
2001-08,77350
2001-11,75903
2002-02,78249
2002-05,81687
2002-08,80215
2002-11,79980
2003-02,82052
2003-05,81084
2003-08,82280
2003-11,84054
2004-02,83688
2004-05,85840
2004-08,88289
2004-11,91087
2005-02,90631
2005-05,94182
2005-08,97872
2005-11,100701
2006-02,112908
2006-05,115418
2006-08,102737
2006-11,101750
2007-02,102600
2007-05,103722
2007-08,107758
2007-11,109966
2008-02,114195
2008-05,118984
2008-08,119731
2008-11,112304
2009-02,108347
2009-05,106228
2009-08,108614
2009-11,112378
2010-02,115479
2010-05,120992
2010-08,124530
2010-11,128257
2011-02,127924
2011-05,134914
2011-08,136385
2011-11,135762
2012-02,136191
2012-05,136961
2012-08,135353
2012-11,133156
2013-02,137026
2013-05,142818
2013-08,142388
2013-11,142632
2014-02,138845
2014-05,138839
2014-08,141870
2014-11,148859
2015-02,143775
2015-05,139710
2015-08,137676
2015-11,141463
2016-02,143781
2016-05,148834
2016-08,160496
2016-11,160277
2017-02,164238
2017-05,168060
2017-08,170401
2017-11,168512
2018-02,172359
2018-05,175305
2018-08,178030
2018-11,183760
2019-02,196692
2019-05,179845
2019-08,185188
2019-11,176147
2020-02,168723
2020-05,125446
2020-08,147523
2020-11,170661
2021-02,156018
2021-05,159832
2021-08,171952
2021-11,184203
2022-02,209941
2022-05,224203
2022-08,231615
2022-11,226407
2023-02,222405
2023-05,221480
2023-08,213822
2023-11,218583
2024-02,215099
2024-05,230129
